Job ID,URL,Title,Description,Tags,Number Of Bidders,Average Bid Cost,Final Cost,Currency,Time,Converted Final Cost,Country Of Poster,Country Of Winner,Date Scraped,Time Ago,Date Range,Category

19028113,https://www.freelancer.co.uk/projects/business-analysis/Write-business-plan-19028113/,Write up a business plan.,"My name is Ahmed and I am a 32 year old from Riyadh, Saudi Arabia, and I wish to use my passion for playing retro games to provide a location for others like myself to hang out with friends, playing classics such as Donkey Kong and Mortal Kombat, while consuming on beverages and snacks.  

The business that I have in mind is opening a retro themed arcade and video game cafe or similar in Riyadh. The inspiration behind the idea was when I visited a number of arcade themed bars, or as they classify as ""Barcades"", while travelling across a number of cities around the world. The concept of a ""Barcade"" revolves around a typical alcohol serving bar which contains many classic arcade machines, such as Street Fighter 2 and NBA Jam, and classic video game consoles hooked up to old school CRT TVs such as Super Nintendo and Sega Genesis,  available for their customers to play while enjoying a drink with friends. Very commonly the model of such a place would involve the consumer paying a one time cover fee, which gives him access to play on the machines and consoles for free for the entirety of the stay, only paying additionally for drinks and snacks. Some places use somewhat different models though.  

The business I have in mind is very similar to what is described above, except due to local laws and regulations here in Saudi Arabia, alcohol is considered illegal, therefore it must be replaced with some other form of offering in order to generate revenue and compensate in the place of alcohol. 

What I would like to have is a business plan done. It should cover as many aspects as possible including products, services,  strategic and market analysis, marketing plan, budgeting, a financial plan, sales forecast, etc. I intend on using this information when pitching the idea to potential partners for this business.","Business Analysis, Business Plans, Business Writing, Financial Analysis",13,$555.31,$588,USD,10 days,$588,Saudi Arabia,United States,16/08/19,3 months ago,01/05/19 - 31/05/19,1,,,
19201199,https://www.freelancer.co.uk/projects/articles/content-writing-SEO-optimized-19201199/,content writing SEO optimized,Looking for someone to write website content and article blog posts.,"Article Writing, Content Writing, Copywriting, Ghostwriting, SEO",70,$51.43,$30,USD,3 days,$30,Canada,United States,16/08/19,3 months ago,01/05/19 - 31/05/19,1,,,
19330668,https://www.freelancer.co.uk/projects/research-writing/Feasibility-Study-19330668/,Feasibility Study 101,"A feasibility study to explore the potential viability of a business idea or social
enterprise and present findings","Business Analysis, Business Plans, Business Writing, Report Writing, Research Writing",28,£92.67,£80,GBP,3 days,$102.83,United Kingdom,Kenya,20/08/19,3 months ago,01/05/19 - 31/05/19,4,,,
19331280,https://www.freelancer.co.uk/projects/research-writing/essay-writing-19331280/,essay writing,"I need two short essays to be written in academic APA style for a Psychology and clinical language sciences course. The questions will be regarding language development in a genetic disorder. I can send the questions upon request. I need this by this Saturday 27th.
Is this something you would be able to help me with?

Thanks!","Psychology, Report Writing, Research, Research Writing, Technical Writing",47,£78.43,£45,GBP,1 day,$57.84,United Kingdom,Pakistan,16/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19336261,https://www.freelancer.co.uk/projects/research-writing/Research-removal-Performance-Rating/,Research on removal of Performance Rating Systems in Global Companies,"Dear Freelancers,

I require a freelancer to carry out research on companies that have recently removed their performance rating systems from their annual employee performance review process. 

Note: This does not necessarily mean removal of the performance review process – only removal of the quantifiable performance ratings (e.g., Rating from 1-5) given to individuals.
Note II: It is pivotal that companies that maintain a ‘shadow rating system’ in the background should NOT be included in the research (e.g., they have removed ratings from the perspective of the employee but HR still operate and run an ‘undercover’ rating system).

In principle, this project is split into the following 3 phases:

1) The Freelancer must collect market intelligence from 10 companies around the globe (preferably in the Financial Industry Sector)- please use only well-known brands! 

2) The Freelancer must collect market intelligence from 10 public papers (e.g., white papers, news articles, research reports dissertations etc...) on the challenges/ advantages of removing performance rating systems. 

3) Once collected, the Freelancer must summarize the key findings into a 5 page (A4- size 14) document (.docx) each-  5 pages on point 1) and 5 pages on point 2).  

Finally, the successful freelancer should have experience in the field of Human Resources (ideally Performance Management). When you respond, please mention your experience in this respect. 

Whilst, I have a defined budget for this project, I will provide a bonus on top of it, for the selected freelancer if my expectations have been exceeded!  ;o)","Article Rewriting, Human Resources, Report Writing, Research, Research Writing",19,$134.16,$120,USD,3 days,$120,United Arab Emirates,Kenya,20/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19425492,https://www.freelancer.co.uk/projects/research-writing/Capital-Budgeting-under-Uncertainty-Risk/,Capital Budgeting under Uncertainty and Risk ,I need you to write a research article and include some key points which I have already included in a slide ,Research Writing,12,$87.33,$155,SGD,3 days,$113.11,Singapore,Kenya,16/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19427443,https://www.freelancer.co.uk/projects/accounting/Trend-analysis-for-exchange-rate/,Trend analysis for exchange rate and interest rates of Mexico and U.S,"I am seeking for someone help to do a trend analysis for exchange rate and interest rates of Mexico and U.S. All detailed information will be provided by me and I hope this can be done before Monday.

Background: A currency carry trade involves investors looking to exploit interest rate differentials between two currencies and it is thought to be one of the factors that contribute to the empirical violations of the uncovered interest parity (UIP). Choose a pair of funding and investment currencies (Mexico and U.S dollar) and their money market interest rates (e.g., monthly rates, ","Accounting, Business Analysis, Finance, Financial Research, Statistics",4,$104.0,$50,AUD,3 days,$34.73,Australia,Pakistan,16/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19460451,https://www.freelancer.co.uk/projects/research-writing/Paper-Saving-the-World/,Paper on Saving the World,"The main topic is defending Anarchism and how it will fix the biggest issue facing humans on earth. (Corrupt government)
An argumentative paper with reason, data, logic, coherent argumentation, persuasion. 
2,500 words
10-12 proper sources
No plagiarism or excessively long quotes (I will be checking)","Report Writing, Research, Research Writing, Technical Writing",26,$45.19,$30,USD,10 days,$30,United States,Pakistan,16/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19468349,https://www.freelancer.co.uk/projects/research-writing/Three-Page-Informational-Paper/,Three Page Informational Paper,Three pages written for a seminar related to Cloud Computing Security  and an overview of the NIST Cloud Security Management publication.,"Cloud Computing, Essay Writing, Report Writing, Research Writing, Technical Writing",15,$69.0,$25,USD,2 days,$25,United States,United Kingdom,16/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
19474070,https://www.freelancer.co.uk/projects/research-writing/How-Big-Data-Networks-Related/,How Big Data Networks and Related Technologies Can be used to Reduce Student Discipline Problem,"Describe how big data networks and related technologies can be used to reduce student discipline
problems (i.e. fighting, bullying, smoking, truancy, loitering during class hours, etc.) in primary or
secondary schools.
Your report should include all the relevant details of the proposed solution, such as:
 problem statement,
 current/existing solutions, their limitations, and how a big data solution might be suitable,
 what big data to collect,
 what devices to use for collecting the data,
 how the devices will be inter-connected to form a big data network (i.e. network architecture
diagram),
 some technical details about the big data network (i.e. topology, cables, protocols, standards,
technologies, network devices, etc.),
 how the big data will be processed/analyzed to provide solution to the problem,
 how the solution can be used by different users to overcome the problem,
 other relevant/useful information.
Explain any assumptions made in your suggested solution.","Computer Security, Network Administration, Research Writing, Technical Writing, Wireless",6,$62.17,$80,USD,3 days,$80,Malaysia,India,20/08/19,3 months ago,01/05/19 - 31/05/19,5,,,
