Job ID,URL,Title,Description,Tags,Number Of Bidders,Average Bid Cost,Final Cost,Currency,Time,Converted Final Cost,Country Of Poster,Country Of Winner,Year,Week,Date Range,Category

19307203,https://www.freelancer.co.uk/projects/articles/essay-words-19307203/,essay 2000 words,"Case Study – Product Design failure in SAMSUNG
Product - Galaxy Note 7
Company: Samsung
Year introduced: 2016
What it was: Tablet phone

Samsung, which had overtaken Apple in the smartphone market once, also had one of the larger and optional more recent product flops. The Note S7, a phablet that launched in August 2016, was initially well received. However, it had a serious flaw. A problem with the battery software resulted in the phones catching fire on several occasions, including once on a South West  Airlines flight, which had to be evacuated. Soon, the Department of Transportation made it illegal to bring a Note 7 on a commercial flight. By October, after an extremely expensive recall, Samsung suspended worldwide production of the Note 7. The company lost what is estimated to be over $3 billion due to the error in product design, and Apple once again took the lead in the global smartphone market.

Search for research articles, industry reports, company reports and trade publications to answer the following question in this case. Each question has 5 marks. Answer to each question should not be less than one page (500 words).

Question:
Evaluate the Samsung’s approach to new product design
State the importance of product design and its strategic impact for Samsung
Suggest the steps to develop a product design at Samsung
Suggest how Samsung might improve its success rate for future products

Your answer must be based on real research work and focused on product design. 
 plagiarism which should not be more than 20%.","Academic Writing, Article Writing, Content Writing, Essay Writing, Research Writing",24,$43.57,None,USD,1 day,None,Saudi Arabia,None,2019,17,29/04/19 - 06/05/19,5,,,
19311275,https://www.freelancer.co.uk/projects/english-us/ENGLISH-WRITING-19311275/,ENGLISH WRITING.,Research about reading books. Your history as a reader.,"English (US), English Grammar, Essay Writing",30,$4.5,None,USD,None,None,United States,None,2019,17,29/04/19 - 06/05/19,5,,,
19331124,https://www.freelancer.co.uk/projects/articles/someone-apply-universities-admissions/,someone to apply to universities admissions for me as an international student,someone to apply to universities admissions for me as an international student,"Academic Writing, Article Writing, Essay Writing",18,$21.89,None,USD,None,None,Egypt,None,2019,17,29/04/19 - 06/05/19,5,,,
19334136,https://www.freelancer.co.uk/projects/logo-design/Creativity-development-project/,Creativity development project,Creativity development project is one of the best project which not only helps to create something but also it helps to pushup your talent.,"Essay Writing, Hair Styles, Logo Design, Poetry, Short Stories",8,₹1338.25,None,INR,None,None,Nepal,None,2019,17,29/04/19 - 06/05/19,5,,,
19335890,https://www.freelancer.co.uk/projects/research-writing/Portrayal-asylum-seekers-the-plays/,Portrayal of asylum seekers in the plays the rainbow dark and the pacific solution through applying cultural trauma. ,"I need you to write a research on cultural trauma in asylum seeker plays, through the theories of Jeffry alexander and Cathy Caruth .  ","Creative Writing, Essay Writing, Research Writing",6,$69.67,$100,USD,3 days,$100,Saudi Arabia,India,2019,17,29/04/19 - 06/05/19,5,,,
19340284,https://www.freelancer.co.uk/projects/research-writing/Short-Paper-International-Law/,Short Paper International Law,"Short paper based on international law. Needs to be at least 3 pages double spaced. URGENT: need by end of the day  
Topic: Discuss the process of development of legal personality of the individual in international law before and after the twentieth century.","Academic Writing, Essay Writing, Research Writing",15,$32.0,$30,USD,1 day,$30,United States,Kenya,2019,17,29/04/19 - 06/05/19,5,,,
19345458,https://www.freelancer.co.uk/projects/research-writing/Critique-Essay-writing/,Critique and Essay writing,"1) “To become leaders, managers need to translate their personal values into calculating action”. Discuss this statement by reviewing the article ‘The Discipline of Building Character’ Material provided
(Minimum Words Limit 1500 words)                                             

2) Write an essay by selecting any Two organizations, having different leadership styles that reflect their organizational culture and performance. Suggest an alternative leadership style of each from your understanding of the concepts of leadership in overcoming the challenges of contemporary management.
Minimum Words Limit  2000","Business Analysis, Essay Writing, Report Writing, Research Writing",40,$90.45,None,USD,None,None,United Arab Emirates,None,2019,17,29/04/19 - 06/05/19,5,,,
19345686,https://www.freelancer.co.uk/projects/report-writing/Book-report-Random-Walk-Down/,Book report on Random Walk Down Wall Street,"I need to summarize the following chapters from ""Random Walk Down Wall Street"" 11ed. (2014 edition) by Burton Malkiel, in about 2 single spaced pages per chapter. So essentially it needs to be 8 pages. 

Chapter 6; Technical analysis

Chapter 7: How good is fundamental analysis?

Chapter 10: Behavioral finance

Chapter 11: Is ""Smart beta"" really smart?

IT MUST ALSO BE [login to view URL] READY

IT IS DUE BY MAY 10TH
","Book Writing, Essay Writing, Proofreading, Report Writing, Typing",31,$143.95,None,USD,None,None,United States,None,2019,17,29/04/19 - 06/05/19,5,,,
19346169,https://www.freelancer.co.uk/projects/research-writing/looking-for-full-time-Academic/,looking for full time Academic writer freelancer,"The writer who is available always online can handle essays, assignments , technical tasks , PowerPoint if do engineering tasks also its plus point.","Chemical Engineering, Essay Writing, Mechanical Engineering, Powerpoint, Research Writing",37,$31.45,None,USD,None,None,United Arab Emirates,None,2019,17,29/04/19 - 06/05/19,5,,,
19350828,https://www.freelancer.co.uk/projects/research/Writer-required-for-Marketing-Management/,Writer is required for Marketing and Management task .,We are looking for senior writer who can write marketing and management and English task. Only individual writers.,"Academic Writing, Essay Writing, Research",19,$73.42,None,USD,3 days,None,Pakistan,None,2019,17,29/04/19 - 06/05/19,4,,,
19357619,https://www.freelancer.co.uk/projects/report-writing/need-you-write-report-for-19357619/,I need you to write a report for something. In 3 hours max related to political science.,I need you to write a report for something. In 3 hours max ,"Academic Writing, Essay Writing, Online Writing, Report Writing, Writing",31,$25.4,None,USD,1 day,None,United Arab Emirates,None,2019,17,29/04/19 - 06/05/19,4,,,
19362790,https://www.freelancer.co.uk/projects/articles/Write-literature-review-19362790/,Write a literature review,I am looking for someone who can write a literature review of a journal paper in 500 words without plagiarism.,"Academic Writing, Article Writing, Essay Writing, Report Writing, Technical Writing",42,£28.57,£33,GBP,1 day,$42.89,United Kingdom,Pakistan,2019,17,29/04/19 - 06/05/19,5,,,
19363975,https://www.freelancer.co.uk/projects/english-uk/Global-marketing-plan/,Global marketing plan ,Conduct a global marketing plan for Pret A Manger expanding into the Australia market. ,"Academic Writing, English (UK), Essay Writing, Internet Research, QuickBase",14,£86.36,None,GBP,3 days,None,United Kingdom,None,2019,17,29/04/19 - 06/05/19,5,,,
19365229,https://www.freelancer.co.uk/projects/articles/standardization-expectation-judgment/,"standardization, expectation, and judgment in response to language use -- 2","standardization, expectation, and judgment in response to language use.","Academic Writing, Article Writing, Essay Writing, Research, Research Writing",3,$26.67,None,AUD,1 day,None,Pakistan,None,2019,17,29/04/19 - 06/05/19,5,,,
19374652,https://www.freelancer.co.uk/projects/research-writing/History-Paper-Medieval-War-Technologies/,History Paper on Medieval War Technologies,"10 Page-double spaced, Times New Roman
Some sources will be provided that need to be used for this paper.","Essay Writing, History, Research, Research Writing",33,$75.3,None,USD,None,None,United States,None,2019,18,06/05/19 - 13/05/19,5,,,
